No.,Study,MAG,Size_bp,Domain,Phylum,Class,Order,Family,Genus,Species,Completeness,Contamination
63,ELGG,BrooksB_2017_SRR5405927_bin.2,1994447,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Varibaculum,s__,98.48,0.47
64,ELGG,BrooksB_2017_SRR5405976_bin.2,1376640,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae,g__Haemophilus_D,s__,55.28,0
65,ELGG,BrooksB_2017_SRR5405980_bin.9,1715429,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus_A,s__,98.02,0
66,ELGG,CasaburiG_2019_SRR6277111_bin.7,2317360,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,100,0.81
67,ELGG,CasaburiG_2019_SRR6277143_bin.1,2469444,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium kroppenstedtii_C,96.96,0
68,ELGG,ChuDM_2017_SRR8942345_bin.18,1546373,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella pallens,63.17,2.59
69,ELGG,ChuDM_2017_SRR8942345_bin.2,2438419,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__Alloprevotella sp905369775,96.39,0.57
70,ELGG,ChuDM_2017_SRR8942345_bin.8,2214132,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__Alloprevotella sp905371275,88.65,0.97
71,ELGG,ChuDM_2017_SRR8942360_bin.3,2252778,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Eubacterium_T,s__Eubacterium_T sp905214225,98.94,0
72,ELGG,ChuDM_2017_SRR8942361_bin.17,2850266,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Tractidigestivibacter,s__,100,0
73,ELGG,ChuDM_2017_SRR8942361_bin.4,2014927,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus delbrueckii_B,99.14,0
74,ELGG,ChuDM_2017_SRR8942361_bin.8,2787834,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Megasphaeraceae,g__Caecibacter,s__,99.4,0.1
75,ELGG,ChuDM_2017_SRR8942364_bin.5,2198132,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900760905,100,0.81
76,ELGG,ChuDM_2017_SRR8942385_bin.6,3124781,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Flavonifractor,s__Flavonifractor intestinigallinarum,96.98,0
77,ELGG,ChuDM_2017_SRR8942392_bin.1,2626216,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella stercorea,98.55,0
78,ELGG,ChuDM_2017_SRR8942393_bin.2,2279194,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,100,0.81
79,ELGG,ChuDM_2017_SRR8942395_bin.4,2174027,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900542315,100,0.81
80,ELGG,ChuDM_2017_SRR8942396_bin.10,2795194,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__,99.37,0.63
81,ELGG,ChuDM_2017_SRR8942396_bin.6,4628481,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Dysgonomonadaceae,g__Dysgonomonas,s__Dysgonomonas sp003523545,100,0
82,ELGG,ChuDM_2017_SRR8942396_bin.9,4539580,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Dysgonomonadaceae,g__Dysgonomonas,s__,87.79,4.1
83,ELGG,ChuDM_2017_SRR8942399_bin.18,2294627,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,100,2.42
84,ELGG,ChuDM_2017_SRR8942418_bin.17,1768722,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Aphodousia,s__Aphodousia faecalis,97.08,0.62
85,ELGG,ChuDM_2017_SRR8942429_bin.10,2155364,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,97.58,0.81
86,ELGG,CokerMO_2019_SRR8692180_bin.26,2356303,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,100,0
87,ELGG,CokerMO_2019_SRR8692182_bin.24,2270638,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,100,0.81
88,ELGG,CokerMO_2019_SRR8692191_bin.11,1995556,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,81.45,1.61
89,ELGG,CokerMO_2019_SRR8692191_bin.3,3004788,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Massilistercora,s__Massilistercora sp902406105,98.34,2.07
90,ELGG,CokerMO_2019_SRR8692192_bin.4,2232629,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,100,0.81
91,ELGG,CokerMO_2019_SRR8692213_bin.10,1212423,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae,g__Haemophilus_D,s__Haemophilus_D parainfluenzae_K,69.11,2.69
92,ELGG,CokerMO_2019_SRR8692214_bin.21,3049494,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__,96.82,2.22
93,ELGG,CokerMO_2019_SRR8692215_bin.31,3133348,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fimimorpha,s__,98.95,0.63
94,ELGG,CokerMO_2019_SRR8692215_bin.33,4217275,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides sp900766195,98.88,0.57
95,ELGG,CokerMO_2019_SRR8692222_bin.2,2957927,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Coprobacillaceae,g__Beduini,s__,99.06,0.09
96,ELGG,CokerMO_2019_SRR8692226_bin.19,2384954,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__JAGZMM01,s__JAGZMM01 sp018364155,97.99,0.67
97,ELGG,CokerMO_2019_SRR8692231_bin.27,2400021,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__JAGZHZ01,s__JAGZHZ01 sp018366495,93.48,1.39
98,ELGG,CokerMO_2019_SRR8692231_bin.30,1870568,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UMGS1071,s__UMGS1071 sp900548305,97.99,0
99,ELGG,CokerMO_2019_SRR8692231_bin.34,2122248,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__,72.86,0.95
100,ELGG,CokerMO_2019_SRR8692231_bin.5,3038385,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A sp900540785,96.84,0
101,ELGG,CokerMO_2019_SRR8692232_bin.37,1985919,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Duodenibacillus,s__Duodenibacillus sp900552915,94.01,2.5
102,ELGG,CokerMO_2019_SRR8692236_bin.2,2296826,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,100,0.81
103,ELGG,CokerMO_2019_SRR8692240_bin.19,2616170,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Anaerostipes,s__Anaerostipes sp900756035,99.33,2.68
104,ELGG,CokerMO_2019_SRR8692240_bin.20,2933381,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Faecalimonas,s__Faecalimonas sp900546325,97.46,0
105,ELGG,DianaHT_2018_SRR6795016_bin.14,2737417,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp000436915,94.3,0.2
106,ELGG,DianaHT_2018_SRR6795020_bin.19,2237188,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900542085,100,1.61
107,ELGG,DianaHT_2018_SRR6795027_bin.13,3587847,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__,s__,94.38,1.22
108,ELGG,DianaHT_2018_SRR6795046_bin.14,1832948,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Bifidobacteriaceae,g__Bifidobacterium,s__,75.91,2.78
109,ELGG,DianaHT_2018_SRR6795046_bin.2,1776703,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter_D,s__,99.44,1.88
110,ELGG,DianaHT_2018_SRR6795046_bin.8,2285860,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Megasphaeraceae,g__Megasphaera,s__Megasphaera sp900540735,99.85,0
111,ELGG,FerrettiP_2018_SRR5274007_bin.1,1922745,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Pauljensenia,s__Pauljensenia sp902373435,94.45,1.07
112,ELGG,FerrettiP_2018_SRR5274049_bin.5,1395501,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Lancefieldella,s__Lancefieldella sp902373375,94.61,0.81
113,ELGG,FerrettiP_2018_SRR5274072_bin.2,4769298,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Acidovorax,s__Acidovorax sp000302535,93.97,1.42
114,ELGG,GasparriniAJ_2019_SRR9865497_bin.2,3179669,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lacrimispora,s__,66.07,1.27
115,ELGG,GasparriniAJ_2019_SRR9865541_bin.1,2402240,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella_A,s__,79.17,3.48
116,ELGG,GasparriniAJ_2019_SRR9865541_bin.10,2234811,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Coprobacillaceae,g__Erysipelatoclostridium,s__Erysipelatoclostridium spiroforme_A,99.83,0
117,ELGG,GasparriniAJ_2019_SRR9865555_bin.9,1963034,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,100,0.81
118,ELGG,GasparriniAJ_2019_SRR9865562_bin.4,2220325,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,99.6,0.81
119,ELGG,GasparriniAJ_2019_SRR9865603_bin.5,1919498,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,81.2,1.7
120,ELGG,GasparriniAJ_2019_SRR9865717_bin.3,1592652,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,76.2,1.61
121,ELGG,GasparriniAJ_2019_SRR9865776_bin.2,3146621,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__Clostridium sp000435835,98.34,0.25
122,ELGG,GasparriniAJ_2019_SRR9865778_bin.2,2151377,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,100,0.81
123,ELGG,GasparriniAJ_2019_SRR9865829_bin.4,2179252,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,98.39,2.58
124,ELGG,GCF_000006625.1_ASM662v1_genomic,751719,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Ureaplasma,s__Ureaplasma parvum,99.05,0
125,ELGG,GCF_000008065.1_ASM806v1_genomic,1992676,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus johnsonii,99.22,0
126,ELGG,GCF_000009865.1_ASM986v1_genomic,2697861,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus haemolyticus,99.62,0
127,ELGG,GCF_000014405.1_ASM1440v1_genomic,1856951,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus delbrueckii,99.16,0
128,ELGG,GCF_000014505.1_ASM1450v1_genomic,1832387,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Pediococcus,s__Pediococcus pentosaceus,99.07,0
129,ELGG,GCF_000017465.2_ASM1746v2_genomic,1971270,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter_A,s__Campylobacter_A curvus,99.88,0
130,ELGG,GCF_000018665.1_ASM1866v1_genomic,6767514,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Comamonas,s__Comamonas acidovorans,99.85,0.1
